                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.46554,                0.36869,                 1.0571,                0.99895,                      1,                  0.995,                0.99095,                0.17806,                0.18337,                0.78424,               0.000515,               0.000515,               0.000515
                     98,                0.39561,                0.31839,                0.98895,                0.99881,                      1,                  0.995,                0.98817,                0.18907,                0.18252,                0.79496,             0.00049953,             0.00049953,             0.00049953
                     99,                0.45587,                 0.3629,                  1.032,                0.99859,                      1,                  0.995,                0.98292,                0.20045,                0.18958,                0.79923,             0.00048406,             0.00048406,             0.00048406
                    100,                 0.4466,                0.34077,                 1.0204,                 0.9988,                      1,                  0.995,                0.98464,                0.20648,                0.20127,                0.79844,             0.00046859,             0.00046859,             0.00046859
                    101,                0.39494,                0.31231,                0.98448,                0.99884,                      1,                  0.995,                 0.9821,                0.18195,                 0.1838,                0.79159,             0.00045313,             0.00045313,             0.00045313
                    102,                0.46044,                0.32861,                  1.052,                0.99888,                      1,                  0.995,                0.98826,                0.16859,                0.16978,                0.78331,             0.00043766,             0.00043766,             0.00043766
                    103,                0.41095,                0.31255,                 1.0053,                0.99883,                      1,                  0.995,                0.98688,                 0.1726,                0.16871,                0.78227,             0.00042219,             0.00042219,             0.00042219
                    104,                0.46577,                 0.3306,                 1.0415,                0.99871,                      1,                  0.995,                0.98906,                0.16218,                0.16476,                0.78419,             0.00040672,             0.00040672,             0.00040672
                    105,                0.41544,                0.31285,                 1.0265,                0.99871,                      1,                  0.995,                0.99128,                0.16813,                0.17044,                  0.795,             0.00039125,             0.00039125,             0.00039125
                    106,                0.46586,                0.35061,                 1.0851,                0.99828,                      1,                  0.995,                0.98479,                0.17685,                0.18509,                0.80753,             0.00037578,             0.00037578,             0.00037578
                    107,                0.41944,                0.34257,                   1.01,                0.99715,                      1,                  0.995,                0.97727,                0.18279,                0.18492,                0.81532,             0.00036031,             0.00036031,             0.00036031
                    108,                0.42872,                0.32856,                 1.0074,                0.99834,                      1,                  0.995,                0.99105,                0.17467,                0.16837,                 0.7932,             0.00034484,             0.00034484,             0.00034484
                    109,                0.45266,                0.34204,                 1.0597,                0.99886,                      1,                  0.995,                0.98886,                0.16683,                0.15401,                0.78412,             0.00032938,             0.00032938,             0.00032938
                    110,                0.37947,                0.27943,                 1.0016,                0.99893,                      1,                  0.995,                 0.9909,                0.16043,                0.15098,                0.77558,             0.00031391,             0.00031391,             0.00031391
                    111,                0.41387,                0.31191,                 1.0594,                0.99896,                      1,                  0.995,                0.99093,                0.16032,                0.14746,                0.77612,             0.00029844,             0.00029844,             0.00029844
                    112,                0.40559,                0.27666,                  1.019,                0.99894,                      1,                  0.995,                0.98943,                0.15973,                0.16145,                0.78274,             0.00028297,             0.00028297,             0.00028297
                    113,                0.38964,                0.32057,                0.99579,                0.99895,                      1,                  0.995,                 0.9896,                0.16074,                0.15934,                0.78667,              0.0002675,              0.0002675,              0.0002675
                    114,                0.38838,                0.29283,                 1.0054,                0.99894,                      1,                  0.995,                0.98568,                0.15642,                0.15482,                0.78217,             0.00025203,             0.00025203,             0.00025203
                    115,                0.37935,                0.30239,                 1.0317,                0.99895,                      1,                  0.995,                0.98404,                0.15363,                 0.1506,                0.77585,             0.00023656,             0.00023656,             0.00023656
                    116,                0.35415,                0.27201,                0.97934,                0.99897,                      1,                  0.995,                0.98843,                0.15369,                0.15554,                0.76972,             0.00022109,             0.00022109,             0.00022109
                    117,                0.38071,                0.28158,                      1,                0.99896,                      1,                  0.995,                0.98705,                0.16046,                0.16302,                0.77062,             0.00020562,             0.00020562,             0.00020562
                    118,                0.38077,                0.27382,                0.98235,                 0.9989,                      1,                  0.995,                 0.9871,                0.15902,                0.15904,                0.77057,             0.00019016,             0.00019016,             0.00019016
                    119,                0.26777,                 0.2507,                0.93369,                0.99889,                      1,                  0.995,                0.98616,                0.16115,                0.14948,                0.77363,             0.00017469,             0.00017469,             0.00017469
                    120,                0.24585,                0.21338,                0.91735,                0.99889,                      1,                  0.995,                0.99158,                0.17712,                0.15917,                0.78205,             0.00015922,             0.00015922,             0.00015922
                    121,                0.24394,                0.20225,                0.91398,                0.99896,                      1,                  0.995,                0.98985,                0.16176,                0.14629,                0.77358,             0.00014375,             0.00014375,             0.00014375
                    122,                0.25077,                0.20598,                0.92568,                0.99903,                      1,                  0.995,                0.99222,                0.14788,                 0.1404,                 0.7673,             0.00012828,             0.00012828,             0.00012828
                    123,                0.24674,                0.20457,                 0.9315,                0.99904,                      1,                  0.995,                0.99384,                0.14101,                0.13616,                 0.7655,             0.00011281,             0.00011281,             0.00011281
                    124,                0.26499,                0.22126,                0.92848,                0.99897,                      1,                  0.995,                0.99271,                0.14888,                0.13644,                0.76866,             9.7344e-05,             9.7344e-05,             9.7344e-05
                    125,                 0.2424,                0.19997,                0.92582,                0.99895,                      1,                  0.995,                0.98982,                0.14993,                0.13232,                0.76674,             8.1875e-05,             8.1875e-05,             8.1875e-05
                    126,                0.23548,                0.19783,                0.89868,                0.99895,                      1,                  0.995,                0.98887,                0.14594,                0.13025,                0.76572,             6.6406e-05,             6.6406e-05,             6.6406e-05
                    127,                0.25232,                0.19425,                0.92703,                0.99895,                      1,                  0.995,                0.98654,                0.14497,                 0.1305,                0.76634,             5.0937e-05,             5.0937e-05,             5.0937e-05
                    128,                0.23298,                0.18989,                 0.9285,                0.99892,                      1,                  0.995,                0.98653,                 0.1461,                0.13144,                0.76868,             3.5469e-05,             3.5469e-05,             3.5469e-05
